0	BrighamYoung	7;
1	FloridaState	0;
2	Iowa	2;
3	KansasState	3;
4	NewMexico	7;
5	TexasTech	3;
6	PennState	2;
7	SouthernCalifornia	8;
8	ArizonaState	8;
9	SanDiegoState	7;
10	Baylor	3;
11	NorthTexas	10;
12	NorthernIllinois	6;
13	Northwestern	2;
14	WesternMichigan	6;
15	Wisconsin	2;
16	Wyoming	7;
17	Auburn	9;
18	Akron	6;
19	VirginiaTech	1;
20	Alabama	9;
21	UCLA	8;
22	Arizona	8;
23	Utah	7;
24	ArkansasState	10;
25	NorthCarolinaState	0;
26	BallState	6;
27	Florida	9;
28	BoiseState	11;
29	BostonCollege	1;
30	WestVirginia	1;
31	BowlingGreenState	6;
32	Michigan	2;
33	Virginia	0;
34	Buffalo	6;
35	Syracuse	1;
36	CentralFlorida	5;
37	GeorgiaTech	0;
38	CentralMichigan	6;
39	Purdue	2;
40	Colorado	3;
41	ColoradoState	7;
42	Connecticut	5;
43	EasternMichigan	6;
44	EastCarolina	4;
45	Duke	0;
46	FresnoState	11;
47	OhioState	2;
48	Houston	4;
49	Rice	11;
50	Idaho	10;
51	Washington	8;
52	Kansas	3;
53	SouthernMethodist	11;
54	Kent	6;
55	Pittsburgh	1;
56	Kentucky	9;
57	Louisville	4;
58	LouisianaTech	11;
59	LouisianaMonroe	10;
60	Minnesota	2;
61	MiamiOhio	6;
62	Vanderbilt	9;
63	MiddleTennesseeState	10;
64	Illinois	2;
65	MississippiState	9;
66	Memphis	4;
67	Nevada	11;
68	Oregon	8;
69	NewMexicoState	10;
70	SouthCarolina	9;
71	Ohio	6;
72	IowaState	3;
73	SanJoseState	11;
74	Nebraska	3;
75	SouthernMississippi	4;
76	Tennessee	9;
77	Stanford	8;
78	WashingtonState	8;
79	Temple	1;
80	Navy	5;
81	TexasA&M	3;
82	NotreDame	5;
83	TexasElPaso	11;
84	Oklahoma	3;
85	Toledo	6;
86	Tulane	4;
87	Mississippi	9;
88	Tulsa	11;
89	NorthCarolina	0;
90	UtahState	5;
91	Army	4;
92	Cincinnati	4;
93	AirForce	7;
94	Rutgers	1;
95	Georgia	9;
96	LouisianaState	9;
97	LouisianaLafayette	10;
98	Texas	3;
99	Marshall	6;
100	MichiganState	2;
101	MiamiFlorida	1;
102	Missouri	3;
103	Clemson	0;
104	NevadaLasVegas	7;
105	WakeForest	0;
106	Indiana	2;
107	OklahomaState	3;
108	OregonState	8;
109	Maryland	0;
110	TexasChristian	4;
111	California	8;
112	AlabamaBirmingham	4;
113	Arkansas	9;
114	Hawaii	11;
